epoch,lr,train_elapsed_time,valid_elapsed_time,train_loss,valid_loss,valid_accuracy
1,5e-05,347.8,91.8,1.23398033618927,0.9990508442380989,0.6433566212654114
2,5e-05,344.9,91.7,0.8258200260996819,0.9275509107160378,0.6503496766090393
3,5e-05,345.5,91.8,0.5709551446437836,0.9319392564405958,0.6563436388969421
4,5e-05,344.6,91.4,0.3628181232511997,1.0359199435869417,0.6543456315994263
5,5e-05,344.7,90.8,0.27408505526185034,1.0976751582711877,0.667332649230957
6,5e-05,343.4,90.7,0.20556227830052376,1.066113488706927,0.658341646194458
7,2.5e-05,342.5,91.5,0.05854250645637512,1.4839111308201283,0.6783216595649719
8,2.5e-05,342.1,91.4,0.027116791099309923,1.5299060094427452,0.7022976875305176
9,2.5e-05,342.0,90.7,0.0513960288465023,1.4509117713901196,0.6793206930160522
10,2.5e-05,342.0,91.6,0.041638014823198316,1.769117284322144,0.6423576474189758
11,1.25e-05,341.2,90.8,0.005629586160182953,1.700125914125484,0.7062937021255493
12,1.25e-05,340.5,90.7,0.006600312441587448,1.6203022153664401,0.6963037252426147
13,1.25e-05,340.3,91.5,0.0009773951470851898,1.7617295719128379,0.7372627258300781
14,1.25e-05,339.5,91.0,6.532371044158936e-05,1.8601960202976728,0.7322677373886108
15,6.25e-06,339.6,91.8,3.078022599220276e-05,1.9187280906518982,0.7312687039375305
16,6.25e-06,339.8,90.8,2.1543145179748537e-05,1.9691542560266901,0.7332667112350464
17,6.25e-06,339.6,90.7,1.3937026262283325e-05,2.0468775316747285,0.7312687039375305
18,6.25e-06,339.5,90.7,8.515655994415283e-06,2.1280937726641147,0.7312687039375305
19,3.125e-06,339.1,90.7,5.490243434906006e-06,2.1769963462591235,0.730269730091095
20,3.125e-06,339.4,90.8,3.93417477607727e-06,2.2390773026263844,0.7312687039375305
21,3.125e-06,338.7,90.8,2.6364028453826902e-06,2.3085671526064666,0.7282717227935791
22,3.125e-06,338.6,90.8,1.6998052597045899e-06,2.4008591960414725,0.7282717227935791
23,1.5625e-06,338.4,90.8,1.1575520038604737e-06,2.4293868151180362,0.730269730091095
24,1.5625e-06,338.6,90.7,8.574128150939941e-07,2.503645238508357,0.7312687039375305
25,1.5625e-06,338.1,90.8,5.91278076171875e-07,2.5510886669438517,0.7312687039375305
26,1.5625e-06,338.0,90.9,3.9187073707580564e-07,2.6214093624327637,0.7312687039375305
27,7.8125e-07,337.7,90.8,2.741515636444092e-07,2.660611213272503,0.730269730091095
28,7.8125e-07,337.8,90.8,2.1079182624816896e-07,2.707653809151278,0.730269730091095
29,7.8125e-07,338.0,91.7,1.5452504158020018e-07,2.7612690943222113,0.730269730091095
30,7.8125e-07,337.6,90.8,1.0919570922851563e-07,2.8176596682225874,0.730269730091095
31,3.90625e-07,337.5,90.7,8.094310760498047e-08,2.8469643005760097,0.7312687039375305
32,3.90625e-07,337.4,90.7,6.625056266784668e-08,2.882664196280752,0.7312687039375305
33,3.90625e-07,337.5,90.6,5.2034854888916016e-08,2.9207568060780216,0.730269730091095
34,3.90625e-07,338.7,91.4,4.059076309204102e-08,2.958733978357759,0.730269730091095
35,1.953125e-07,337.2,90.8,3.296136856079102e-08,2.97944565132413,0.730269730091095
36,1.953125e-07,337.2,90.8,2.8491020202636718e-08,3.0056985650568717,0.730269730091095
37,1.953125e-07,336.9,90.9,2.4229288101196287e-08,3.020463206468397,0.7282717227935791
38,1.953125e-07,336.9,91.9,2.0861625671386717e-08,3.0404064777634483,0.7292707562446594
39,9.765625e-08,338.0,91.8,1.8537044525146484e-08,3.0804133840939976,0.7292707562446594
40,9.765625e-08,337.3,91.6,1.7136335372924803e-08,3.0583962207884015,0.7292707562446594
41,9.765625e-08,337.6,91.6,1.6301870346069337e-08,3.115199138203998,0.730269730091095
42,9.765625e-08,337.9,91.4,1.5437602996826172e-08,3.0749895787108397,0.7292707562446594
43,4.8828125e-08,337.9,91.2,1.493096351623535e-08,3.0788903099186915,0.7292707562446594
44,4.8828125e-08,338.0,91.0,1.4543533325195312e-08,3.082506070061892,0.7292707562446594
45,4.8828125e-08,337.7,91.5,1.4185905456542968e-08,3.0863867707629216,0.7292707562446594
46,4.8828125e-08,337.8,91.4,1.3709068298339844e-08,3.089956699205017,0.7292707562446594
47,2.44140625e-08,337.8,91.8,1.3470649719238282e-08,3.091498094685993,0.7292707562446594
48,2.44140625e-08,338.0,91.4,1.33514404296875e-08,3.141430918818546,0.7292707562446594
49,2.44140625e-08,337.8,91.9,1.3142824172973633e-08,3.1015094689484974,0.730269730091095
50,2.44140625e-08,337.7,91.5,1.2964010238647461e-08,3.0959964197283383,0.730269730091095
