epoch,lr,train_elapsed_time,valid_elapsed_time,train_loss,valid_loss,valid_accuracy
1,5e-05,346.8,93.2,1.2848980969190598,0.9339483072795716,0.6683316826820374
2,5e-05,345.9,93.9,0.8211951369047165,0.9367096483618377,0.649350643157959
3,5e-05,347.1,93.7,0.5466835962533951,1.0258502852453653,0.6223776340484619
4,5e-05,346.2,93.8,0.3568569405376911,1.2357219086358866,0.6033965945243835
5,5e-05,346.1,92.4,0.275626841455698,1.250583224920593,0.64035964012146
6,2.5e-05,344.2,92.4,0.06432429271936417,1.3833180206709375,0.6733266711235046
7,2.5e-05,343.9,93.6,0.03653888791799545,1.3202065307894197,0.6933066844940186
8,2.5e-05,344.8,92.5,0.04380794158577919,1.4720057530026838,0.7032967209815979
9,2.5e-05,343.5,92.4,0.06079620060324669,1.5827785848840616,0.6663336753845215
10,1.25e-05,343.2,93.2,0.012351644098758698,1.4912679260340815,0.7112886905670166
11,1.25e-05,343.8,92.6,0.000605273723602295,1.5830357586803918,0.7232767343521118
12,1.25e-05,343.0,93.6,0.00011816802620887757,1.6608887007100657,0.7182817459106445
13,1.25e-05,343.5,93.7,5.495557188987732e-05,1.753335407485792,0.7172827124595642
14,6.25e-06,343.1,93.7,3.0077964067459107e-05,1.8145556567451713,0.7182817459106445
15,6.25e-06,343.3,93.7,1.9216567277908327e-05,1.8902768213514805,0.7192807197570801
16,6.25e-06,342.8,93.6,1.1461615562438966e-05,1.9784100352377592,0.7182817459106445
17,6.25e-06,342.2,93.5,6.493926048278809e-06,2.0791018254810263,0.7162837386131287
18,3.125e-06,341.7,93.6,4.019379615783691e-06,2.1220061700607786,0.7162837386131287
19,3.125e-06,342.0,93.6,2.8270184993743895e-06,2.1839845352729994,0.7172827124595642
20,3.125e-06,341.2,93.7,1.8720924854278565e-06,2.253083131315971,0.7172827124595642
21,3.125e-06,341.0,93.6,1.188218593597412e-06,2.3265188742342846,0.7172827124595642
22,1.5625e-06,340.7,93.6,8.051097393035889e-07,2.3700643903366148,0.7172827124595642
23,1.5625e-06,340.5,93.6,5.98222017288208e-07,2.424215029277044,0.7172827124595642
24,1.5625e-06,340.2,93.3,4.22745943069458e-07,2.4791337974672185,0.7172827124595642
25,1.5625e-06,340.1,93.5,2.792775630950928e-07,2.5494816572164054,0.7172827124595642
26,7.8125e-07,339.9,93.6,1.9305944442749023e-07,2.5870164319797198,0.7172827124595642
27,7.8125e-07,339.9,93.4,1.4719367027282715e-07,2.63497562408828,0.7172827124595642
28,7.8125e-07,339.5,93.6,1.0669231414794922e-07,2.71805687266281,0.7172827124595642
29,7.8125e-07,339.5,93.2,7.480382919311523e-08,2.7521533678486048,0.7172827124595642
30,3.90625e-07,339.6,93.3,5.641579627990723e-08,2.7650758205925436,0.7192807197570801
31,3.90625e-07,339.4,93.4,4.6193599700927736e-08,2.7957485308791936,0.7202796936035156
32,3.90625e-07,339.4,93.3,3.659725189208984e-08,2.8268424802940944,0.7202796936035156
33,3.90625e-07,339.2,93.4,2.872943878173828e-08,2.85783623216728,0.7202796936035156
34,1.953125e-07,339.3,93.3,2.4378299713134764e-08,2.8753049719560075,0.7202796936035156
35,1.953125e-07,339.6,93.5,2.0861625671386717e-08,2.892518289041077,0.7202796936035156
36,1.953125e-07,339.3,93.4,1.7970800399780273e-08,2.909354825871259,0.7202796936035156
37,1.953125e-07,339.6,93.4,1.5914440155029298e-08,2.9260345226143483,0.7202796936035156
38,9.765625e-08,339.6,93.4,1.4483928680419922e-08,2.9340976894025723,0.7202796936035156
39,9.765625e-08,339.3,93.4,1.3679265975952149e-08,2.9430873610218646,0.7202796936035156
40,9.765625e-08,339.5,93.2,1.2814998626708984e-08,2.949894524775949,0.7202796936035156
41,9.765625e-08,339.6,93.5,1.2010335922241212e-08,2.958818684267727,0.7202796936035156
42,4.8828125e-08,339.5,93.5,1.138448715209961e-08,2.960376727624093,0.7202796936035156
43,4.8828125e-08,338.9,93.5,1.1056661605834961e-08,2.9635361833843197,0.7202796936035156
44,4.8828125e-08,338.9,93.4,1.0639429092407226e-08,2.9665239956306793,0.7202796936035156
45,4.8828125e-08,339.3,93.4,1.0401010513305663e-08,2.9705649787809443,0.7202796936035156
46,2.44140625e-08,339.2,93.3,1.0132789611816407e-08,2.9707575370396095,0.7202796936035156
47,2.44140625e-08,339.4,93.6,1.0043382644653321e-08,2.9945352040671627,0.7202796936035156
48,2.44140625e-08,339.5,93.6,9.98377799987793e-09,2.973255746468596,0.7202796936035156
49,2.44140625e-08,339.5,93.1,9.894371032714844e-09,2.974483150255759,0.7202796936035156
50,1.220703125e-08,338.7,93.2,9.834766387939454e-09,2.9749403833690704,0.7202796936035156
